No,Word,Meaning
41,uncertain,"확신이 없는, 불확실한"
42,premier,"으뜸의, 첫째의"
43,branch,"지사, 분점, 나뭇가지"
44,critic,비평가
45,end up,결국 ~이 되다
46,in the past,과거에
47,indoors,실내에서
48,inward,안으로
49,lean,"기울이다, 숙이다"
50,lift,들어 올리다
51,partnership,"제휴, 협력"
52,plaza,광장
53,relax,긴장을 풀다
54,staff,"직원, 직원을 배치하다"
55,stretch,"펴다, 잡아당기다, (연속된) 길, 기간"
56,switch,바꾸다
57,as long as,~하는 한
58,correctly,"바르게, 정확하게"
59,expressly,"분명히, 명확히"
60,fever,열
61,founder,"창립자, 설립자"
62,in spite of,~에도 불구하고
63,individual,"개인, 개인의"
64,ironing,다림질
65,minor,사소한
66,poorly,"저조하게, 형편없이"
67,region,지역
68,sharply,날카롭게
